"","Package","Built"
"1","abind","3.5.0"
"2","anomalize","3.5.1"
"3","ash","3.5.0"
"4","assertthat","3.5.1"
"5","backports","3.5.2"
"6","base64enc","3.5.0"
"7","BH","3.5.1"
"8","bindr","3.5.1"
"9","bindrcpp","3.5.1"
"10","bitops","3.5.0"
"11","brew","3.5.0"
"12","broom","3.5.2"
"13","callr","3.5.2"
"14","car","3.5.1"
"15","carData","3.5.1"
"16","caTools","3.5.1"
"17","cellranger","3.5.1"
"18","cli","3.5.2"
"19","clipr","3.5.1"
"20","clisymbols","3.5.2"
"21","colorspace","3.5.1"
"22","commonmark","3.5.2"
"23","covr","3.5.2"
"24","cowplot","3.5.1"
"25","crayon","3.5.1"
"26","crosstalk","3.5.1"
"27","csvy","3.5.1"
"28","curl","3.5.1"
"29","data.table","3.5.2"
"30","DataExplorer","3.5.1"
"31","DBI","3.5.1"
"32","dbplyr","3.5.1"
"33","dendextend","3.5.1"
"34","DEoptimR","3.5.0"
"35","desc","3.5.1"
"36","devtools","3.5.2"
"37","diagram","3.5.0"
"38","digest","3.5.2"
"39","diptest","3.5.0"
"40","dismo","3.5.1"
"41","dplyr","3.5.1"
"42","DT","3.5.2"
"43","ellipse","3.5.1"
"44","evaluate","3.5.2"
"45","extrafont","3.5.0"
"46","extrafontdb","3.5.0"
"47","factoextra","3.5.1"
"48","FactoMineR","3.5.1"
"49","fansi","3.5.2"
"50","flashClust","3.5.0"
"51","flexmix","3.5.1"
"52","forcats","3.5.1"
"53","forecast","3.5.1"
"54","fpc","3.5.1"
"55","fracdiff","3.5.1"
"56","fs","3.5.2"
"57","fst","3.5.2"
"58","fuzzyjoin","3.5.2"
"59","generics","3.5.2"
"60","geosphere","3.5.1"
"61","ggalt","3.5.1"
"62","ggmap","3.5.1"
"63","ggplot2","3.5.1"
"64","ggpubr","3.5.1"
"65","ggrepel","3.5.1"
"66","ggsci","3.5.1"
"67","ggsignif","3.5.1"
"68","gh","3.5.2"
"69","git2r","3.5.2"
"70","glue","3.5.1"
"71","gridExtra","3.5.1"
"72","gtable","3.5.1"
"73","gtools","3.5.0"
"74","haven","3.5.2"
"75","here","3.5.2"
"76","hexbin","3.5.1"
"77","highr","3.5.1"
"78","hms","3.5.1"
"79","htmltools","3.5.1"
"80","htmlwidgets","3.5.2"
"81","httpuv","3.5.2"
"82","httr","3.5.2"
"83","igraph","3.5.1"
"84","ini","3.5.2"
"85","jpeg","3.5.0"
"86","jsonlite","3.5.2"
"87","kernlab","3.5.1"
"88","knitr","3.5.2"
"89","labeling","3.5.0"
"90","later","3.5.2"
"91","lazyeval","3.5.1"
"92","leaps","3.5.1"
"93","listviewer","3.5.1"
"94","lme4","3.5.1"
"95","lmtest","3.5.1"
"96","lubridate","3.5.1"
"97","magrittr","3.5.1"
"98","mapproj","3.5.1"
"99","maps","3.5.1"
"100","maptools","3.5.1"
"101","markdown","3.5.2"
"102","MatrixModels","3.5.1"
"103","matrixStats","3.5.1"
"104","mclust","3.5.1"
"105","memoise","3.5.1"
