"","Package","LibPath","Version","Priority","Built"
"1","abind","C:/Program Files/R/R-3.5.1/library","1.4-5",NA,"3.5.0"
"2","anomalize","C:/Program Files/R/R-3.5.1/library","0.1.1",NA,"3.5.1"
"3","ash","C:/Program Files/R/R-3.5.1/library","1.0-15",NA,"3.5.0"
"4","assertthat","C:/Program Files/R/R-3.5.1/library","0.2.0",NA,"3.5.1"
"5","backports","C:/Program Files/R/R-3.5.1/library","1.1.3",NA,"3.5.2"
"6","base","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"7","base64enc","C:/Program Files/R/R-3.5.1/library","0.1-3",NA,"3.5.0"
"8","BH","C:/Program Files/R/R-3.5.1/library","1.69.0-1",NA,"3.5.1"
"9","bindr","C:/Program Files/R/R-3.5.1/library","0.1.1",NA,"3.5.1"
"10","bindrcpp","C:/Program Files/R/R-3.5.1/library","0.2.2",NA,"3.5.1"
"11","bitops","C:/Program Files/R/R-3.5.1/library","1.0-6",NA,"3.5.0"
"12","boot","C:/Program Files/R/R-3.5.1/library","1.3-20","recommended","3.5.1"
"13","brew","C:/Program Files/R/R-3.5.1/library","1.0-6",NA,"3.5.0"
"14","broom","C:/Program Files/R/R-3.5.1/library","0.5.1",NA,"3.5.2"
"15","callr","C:/Program Files/R/R-3.5.1/library","3.1.1",NA,"3.5.2"
"16","car","C:/Program Files/R/R-3.5.1/library","3.0-2",NA,"3.5.1"
"17","carData","C:/Program Files/R/R-3.5.1/library","3.0-2",NA,"3.5.1"
"18","caTools","C:/Program Files/R/R-3.5.1/library","1.17.1.1",NA,"3.5.1"
"19","cellranger","C:/Program Files/R/R-3.5.1/library","1.1.0",NA,"3.5.1"
"20","class","C:/Program Files/R/R-3.5.1/library","7.3-15","recommended","3.5.2"
"21","cli","C:/Program Files/R/R-3.5.1/library","1.0.1",NA,"3.5.2"
"22","clipr","C:/Program Files/R/R-3.5.1/library","0.4.1",NA,"3.5.1"
"23","clisymbols","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.2"
"24","cluster","C:/Program Files/R/R-3.5.1/library","2.0.7-1","recommended","3.5.1"
"25","codetools","C:/Program Files/R/R-3.5.1/library","0.2-16","recommended","3.5.2"
"26","colorspace","C:/Program Files/R/R-3.5.1/library","1.3-2",NA,"3.5.1"
"27","commonmark","C:/Program Files/R/R-3.5.1/library","1.7",NA,"3.5.2"
"28","compiler","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"29","covr","C:/Program Files/R/R-3.5.1/library","3.2.1",NA,"3.5.2"
"30","cowplot","C:/Program Files/R/R-3.5.1/library","0.9.3",NA,"3.5.1"
"31","crayon","C:/Program Files/R/R-3.5.1/library","1.3.4",NA,"3.5.1"
"32","crosstalk","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"33","csvy","C:/Program Files/R/R-3.5.1/library","0.3.0",NA,"3.5.1"
"34","curl","C:/Program Files/R/R-3.5.1/library","3.2",NA,"3.5.1"
"35","data.table","C:/Program Files/R/R-3.5.1/library","1.11.8",NA,"3.5.2"
"36","DataExplorer","C:/Program Files/R/R-3.5.1/library","0.7.0",NA,"3.5.1"
"37","datasets","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"38","DBI","C:/Program Files/R/R-3.5.1/library","1.0.0",NA,"3.5.1"
"39","dbplyr","C:/Program Files/R/R-3.5.1/library","1.2.2",NA,"3.5.1"
"40","dendextend","C:/Program Files/R/R-3.5.1/library","1.9.0",NA,"3.5.1"
"41","DEoptimR","C:/Program Files/R/R-3.5.1/library","1.0-8",NA,"3.5.0"
"42","desc","C:/Program Files/R/R-3.5.1/library","1.2.0",NA,"3.5.1"
"43","devtools","C:/Program Files/R/R-3.5.1/library","2.0.1",NA,"3.5.2"
"44","diagram","C:/Program Files/R/R-3.5.1/library","1.6.4",NA,"3.5.0"
"45","digest","C:/Program Files/R/R-3.5.1/library","0.6.18",NA,"3.5.2"
"46","diptest","C:/Program Files/R/R-3.5.1/library","0.75-7",NA,"3.5.0"
"47","dismo","C:/Program Files/R/R-3.5.1/library","1.1-4",NA,"3.5.1"
"48","dplyr","C:/Program Files/R/R-3.5.1/library","0.7.6",NA,"3.5.1"
"49","DT","C:/Program Files/R/R-3.5.1/library","0.5",NA,"3.5.2"
"50","ellipse","C:/Program Files/R/R-3.5.1/library","0.4.1",NA,"3.5.1"
"51","evaluate","C:/Program Files/R/R-3.5.1/library","0.12",NA,"3.5.2"
"52","extrafont","C:/Program Files/R/R-3.5.1/library","0.17",NA,"3.5.0"
"53","extrafontdb","C:/Program Files/R/R-3.5.1/library","1.0",NA,"3.5.0"
"54","factoextra","C:/Program Files/R/R-3.5.1/library","1.0.5",NA,"3.5.1"
"55","FactoMineR","C:/Program Files/R/R-3.5.1/library","1.41",NA,"3.5.1"
"56","fansi","C:/Program Files/R/R-3.5.1/library","0.4.0",NA,"3.5.2"
"57","flashClust","C:/Program Files/R/R-3.5.1/library","1.01-2",NA,"3.5.0"
"58","flexmix","C:/Program Files/R/R-3.5.1/library","2.3-14",NA,"3.5.1"
"59","forcats","C:/Program Files/R/R-3.5.1/library","0.3.0",NA,"3.5.1"
"60","forecast","C:/Program Files/R/R-3.5.1/library","8.4",NA,"3.5.1"
"61","foreign","C:/Program Files/R/R-3.5.1/library","0.8-71","recommended","3.5.1"
"62","fpc","C:/Program Files/R/R-3.5.1/library","2.1-11.1",NA,"3.5.1"
"63","fracdiff","C:/Program Files/R/R-3.5.1/library","1.4-2",NA,"3.5.1"
"64","fs","C:/Program Files/R/R-3.5.1/library","1.2.6",NA,"3.5.2"
"65","fst","C:/Program Files/R/R-3.5.1/library","0.8.10",NA,"3.5.2"
"66","fuzzyjoin","C:/Program Files/R/R-3.5.1/library","0.1.4",NA,"3.5.2"
"67","generics","C:/Program Files/R/R-3.5.1/library","0.0.2",NA,"3.5.2"
"68","geosphere","C:/Program Files/R/R-3.5.1/library","1.5-7",NA,"3.5.1"
"69","ggalt","C:/Program Files/R/R-3.5.1/library","0.4.0",NA,"3.5.1"
"70","ggmap","C:/Program Files/R/R-3.5.1/library","2.6.1",NA,"3.5.1"
"71","ggplot2","C:/Program Files/R/R-3.5.1/library","3.0.0",NA,"3.5.1"
"72","ggpubr","C:/Program Files/R/R-3.5.1/library","0.2",NA,"3.5.1"
"73","ggrepel","C:/Program Files/R/R-3.5.1/library","0.8.0",NA,"3.5.1"
"74","ggsci","C:/Program Files/R/R-3.5.1/library","2.9",NA,"3.5.1"
"75","ggsignif","C:/Program Files/R/R-3.5.1/library","0.4.0",NA,"3.5.1"
"76","gh","C:/Program Files/R/R-3.5.1/library","1.0.1",NA,"3.5.2"
"77","git2r","C:/Program Files/R/R-3.5.1/library","0.23.0",NA,"3.5.2"
"78","glue","C:/Program Files/R/R-3.5.1/library","1.3.0",NA,"3.5.1"
"79","graphics","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"80","grDevices","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"81","grid","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"82","gridExtra","C:/Program Files/R/R-3.5.1/library","2.3",NA,"3.5.1"
"83","gtable","C:/Program Files/R/R-3.5.1/library","0.2.0",NA,"3.5.1"
"84","gtools","C:/Program Files/R/R-3.5.1/library","3.8.1",NA,"3.5.0"
"85","haven","C:/Program Files/R/R-3.5.1/library","2.0.0",NA,"3.5.2"
"86","here","C:/Program Files/R/R-3.5.1/library","0.1",NA,"3.5.2"
"87","hexbin","C:/Program Files/R/R-3.5.1/library","1.27.2",NA,"3.5.1"
"88","highr","C:/Program Files/R/R-3.5.1/library","0.7",NA,"3.5.1"
"89","hms","C:/Program Files/R/R-3.5.1/library","0.4.2",NA,"3.5.1"
"90","htmltools","C:/Program Files/R/R-3.5.1/library","0.3.6",NA,"3.5.1"
"91","htmlwidgets","C:/Program Files/R/R-3.5.1/library","1.3",NA,"3.5.2"
"92","httpuv","C:/Program Files/R/R-3.5.1/library","1.4.5.1",NA,"3.5.2"
"93","httr","C:/Program Files/R/R-3.5.1/library","1.4.0",NA,"3.5.2"
"94","igraph","C:/Program Files/R/R-3.5.1/library","1.2.2",NA,"3.5.1"
"95","ini","C:/Program Files/R/R-3.5.1/library","0.3.1",NA,"3.5.2"
"96","jpeg","C:/Program Files/R/R-3.5.1/library","0.1-8",NA,"3.5.0"
"97","jsonlite","C:/Program Files/R/R-3.5.1/library","1.6",NA,"3.5.2"
"98","kernlab","C:/Program Files/R/R-3.5.1/library","0.9-27",NA,"3.5.1"
"99","KernSmooth","C:/Program Files/R/R-3.5.1/library","2.23-15","recommended","3.5.1"
"100","knitr","C:/Program Files/R/R-3.5.1/library","1.21",NA,"3.5.2"
"101","labeling","C:/Program Files/R/R-3.5.1/library","0.3",NA,"3.5.0"
"102","later","C:/Program Files/R/R-3.5.1/library","0.7.5",NA,"3.5.2"
"103","lattice","C:/Program Files/R/R-3.5.1/library","0.20-38","recommended","3.5.2"
"104","lazyeval","C:/Program Files/R/R-3.5.1/library","0.2.1",NA,"3.5.1"
"105","leaps","C:/Program Files/R/R-3.5.1/library","3.0",NA,"3.5.1"
"106","listviewer","C:/Program Files/R/R-3.5.1/library","2.1.0",NA,"3.5.1"
"107","lme4","C:/Program Files/R/R-3.5.1/library","1.1-19",NA,"3.5.1"
"108","lmtest","C:/Program Files/R/R-3.5.1/library","0.9-36",NA,"3.5.1"
"109","lubridate","C:/Program Files/R/R-3.5.1/library","1.7.4",NA,"3.5.1"
"110","magrittr","C:/Program Files/R/R-3.5.1/library","1.5",NA,"3.5.1"
"111","mapproj","C:/Program Files/R/R-3.5.1/library","1.2.6",NA,"3.5.1"
"112","maps","C:/Program Files/R/R-3.5.1/library","3.3.0",NA,"3.5.1"
"113","maptools","C:/Program Files/R/R-3.5.1/library","0.9-4",NA,"3.5.1"
"114","markdown","C:/Program Files/R/R-3.5.1/library","0.9",NA,"3.5.2"
"115","MASS","C:/Program Files/R/R-3.5.1/library","7.3-51.1","recommended","3.5.2"
"116","Matrix","C:/Program Files/R/R-3.5.1/library","1.2-15","recommended","3.5.2"
"117","MatrixModels","C:/Program Files/R/R-3.5.1/library","0.4-1",NA,"3.5.1"
"118","matrixStats","C:/Program Files/R/R-3.5.1/library","0.54.0",NA,"3.5.1"
"119","mclust","C:/Program Files/R/R-3.5.1/library","5.4.2",NA,"3.5.1"
"120","memoise","C:/Program Files/R/R-3.5.1/library","1.1.0",NA,"3.5.1"
"121","methods","C:/Program Files/R/R-3.5.1/library","3.5.1","base","3.5.1"
"122","mgcv","C:/Program Files/R/R-3.5.1/library","1.8-26","recommended","3.5.2"
"123","mime","C:/Program Files/R/R-3.5.1/library","0.6",NA,"3.5.2"
"124","minqa","C:/Program Files/R/R-3.5.1/library","1.2.4",NA,"3.5.1"
"125","modelr","C:/Program Files/R/R-3.5.1/library","0.1.2",NA,"3.5.1"
"126","modeltools","C:/Program Files/R/R-3.5.1/library","0.2-22",NA,"3.5.1"
"127","munsell","C:/Program Files/R/R-3.5.1/library","0.5.0",NA,"3.5.1"
